"specie";"indiv";"stage";"comp";"lettre_bulk";"ind_bulk";"col_specie";"col_stage";"col_comp";"type";"comp2";"pch_comp";"pch_specie";"col_type";"pch_type";"spe_comp";"comp_stage";"pch_stage";"spe_stage";"spe_ind";"time";"col_spe_stage"
"Pa_21_S3_R";"Pa";"21";"S3";"R";NA;NA;"orange";"red";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S3";"19";"Pa_S3";"Pa_21";36;"orange"
"Pa_21_S3_Rp";"Pa";"21";"S3";"Rp";NA;NA;"orange";"red";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S3";"19";"Pa_S3";"Pa_21";36;"orange"
"Pa_22_S3_E";"Pa";"22";"S3";"E";NA;NA;"orange";"red";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S3";"19";"Pa_S3";"Pa_22";36;"orange"
"Pa_22_S3_Rp_1";"Pa";"22";"S3";"Rp";"1";NA;"orange";"red";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S3";"19";"Pa_S3";"Pa_22";36;"orange"
"Pa_23_S2_E";"Pa";"23";"S2";"E";NA;NA;"orange";"blue";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S2";"18";"Pa_S2";"Pa_23";31;"orange"
"Pa_23_S2_R";"Pa";"23";"S2";"R";NA;NA;"orange";"blue";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S2";"18";"Pa_S2";"Pa_23";31;"orange"
"Pa_23_S2_Rp";"Pa";"23";"S2";"Rp";NA;NA;"orange";"blue";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S2";"18";"Pa_S2";"Pa_23";31;"orange"
"Pa_24_S1_E";"Pa";"24";"S1";"E";NA;NA;"orange";"green";"purple";"domesticated";"E";"18";"15";"red";"19";"Pa_E";"E_S1";"17";"Pa_S1";"Pa_24";16;"orange"
"Pa_24_S1_R";"Pa";"24";"S1";"R";NA;NA;"orange";"green";"green";"domesticated";"R";"15";"15";"red";"19";"Pa_R";"R_S1";"17";"Pa_S1";"Pa_24";16;"orange"
"Pa_24_S1_Rp";"Pa";"24";"S1";"Rp";NA;NA;"orange";"green";"blue";"domesticated";"Rp";"17";"15";"red";"19";"Pa_Rp";"Rp_S1";"17";"Pa_S1";"Pa_24";16;"orange"
